asset_description,asset_abbreviation,can_be_connected,dbo_entity_type,ifc4_3,ifc2x3,is_ifc_default,ifc2x3_entity,ifc2x3_predefined_type,ifc4_3_entity,ifc4_3_predefined_type
access control - RFID controller,RFIDC,1,,IfcController,IfcController,0,IfcController,,IfcController,
access control - RFID reader,RFIDR,1,,IfcCommunicationsApplianceSCANNER,IfcElectricApplianceSCANNER,0,IfcElectricAppliance,SCANNER,IfcCommunicationsAppliance,SCANNER
access control - access control system,ACS,1,,IfcDistributionSystemSECURITY,,0,,,IfcDistributionSystem,SECURITY
access control - audio intercom,AIC,1,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
access control - biometric reader,BIOR,1,,IfcCommunicationsApplianceSCANNER,IfcElectricApplianceSCANNER,0,IfcElectricAppliance,SCANNER,IfcCommunicationsAppliance,SCANNER
access control - door release button,RTE,1,,IfcSwitchingDeviceCONTACTOR,IfcSwitchingDeviceCONTACTOR,0,IfcSwitchingDevice,CONTACTOR,IfcSwitchingDevice,CONTACTOR
access control - proximity reader - generic,PROXR,1,,IfcCommunicationsApplianceSCANNER,IfcElectricApplianceSCANNER,0,IfcElectricAppliance,SCANNER,IfcCommunicationsAppliance,SCANNER
access control - video intercom,VIC,1,,IfcSwitchingDevice,IfcSwitchingDevice,0,IfcSwitchingDevice,,IfcSwitchingDevice,
actuator,ACT,1,,IfcActuator,IfcActuator,1,IfcActuator,,IfcActuator,
actuator - frost protection switch,FPSW,1,,IfcActuatorELECTRICACTUATOR,IfcActuatorELECTRICACTUATOR,0,IfcActuator,ELECTRICACTUATOR,IfcActuator,ELECTRICACTUATOR
actuator - motorized window operator,WDO,1,,IfcActuatorELECTRICACTUATOR,IfcActuatorELECTRICACTUATOR,0,IfcActuator,ELECTRICACTUATOR,IfcActuator,ELECTRICACTUATOR
actuator - switch actuator,SWACT,1,,IfcActuatorELECTRICACTUATOR,IfcActuatorELECTRICACTUATOR,0,IfcActuator,ELECTRICACTUATOR,IfcActuator,ELECTRICACTUATOR
air conditioning unit,ACU,1,HVAC/AHU,IfcUnitaryEquipmentAIRCONDITIONINGUNIT,IfcUnitaryEquipmentAIRCONDITIONINGUNIT,0,IfcUnitaryEquipment,AIRCONDITIONINGUNIT,IfcUnitaryEquipment,AIRCONDITIONINGUNIT
air conditioning unit - computer room AC unit,CRAC,1,HVAC/AHU,IfcUnitaryEquipmentAIRCONDITIONINGUNIT,IfcUnitaryEquipmentAIRCONDITIONINGUNIT,0,IfcUnitaryEquipment,AIRCONDITIONINGUNIT,IfcUnitaryEquipment,AIRCONDITIONINGUNIT
air conditioning unit - direct expansion cooling unit,DX,1,HVAC/AHU,IfcUnitaryEquipmentSPLITSYSTEM,IfcUnitaryEquipmentSPLITSYSTEM,0,IfcUnitaryEquipment,SPLITSYSTEM,IfcUnitaryEquipment,SPLITSYSTEM
air handling - mechanical ventilation with heat recovery,MVHR,1,HVAC/AHU,IfcAirToAirHeatRecovery,IfcAirToAirHeatRecovery,0,IfcAirToAirHeatRecovery,,IfcAirToAirHeatRecovery,
air handling unit - air handling unit,AHU,1,HVAC/AHU,IfcUnitaryEquipmentAIRHANDLER,IfcUnitaryEquipmentAIRHANDLER,0,IfcUnitaryEquipment,AIRHANDLER,IfcUnitaryEquipment,AIRHANDLER
air handling unit - computer room air handler,CRAH,1,HVAC/AHU,IfcUnitaryEquipmentAIRHANDLER,IfcUnitaryEquipmentAIRHANDLER,0,IfcUnitaryEquipment,AIRHANDLER,IfcUnitaryEquipment,AIRHANDLER
air handling unit - dedicated outside air system unit,DOAS,1,HVAC/DOAS,IfcUnitaryEquipmentAIRHANDLER,IfcUnitaryEquipmentAIRHANDLER,0,IfcUnitaryEquipment,AIRHANDLER,IfcUnitaryEquipment,AIRHANDLER
air handling unit - heat recovery unit,HRU,1,HVAC/AHU,IfcAirToAirHeatRecovery,IfcAirToAirHeatRecovery,1,IfcAirToAirHeatRecovery,,IfcAirToAirHeatRecovery,
air handling unit - make-up air handler,MAU,1,HVAC/MAU,IfcUnitaryEquipmentAIRHANDLER,IfcUnitaryEquipmentAIRHANDLER,0,IfcUnitaryEquipment,AIRHANDLER,IfcUnitaryEquipment,AIRHANDLER
